复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
无限动漫旅 　　一间小小的出租屋中，一个人影正在电脑前坐着，他叫李俊，是一个网络写手，他写的是无限流科幻小说，写了整整三年有余的他，已经完本了三本百万字的小说，只可惜写了三年的他如今连一流写手的工资都拿不到。
重生之武道无双 　　云淡如纱，清风徐徐；斜阳余晖透过稀疏的树林，将草坪映得暖暖的。
噩梦平台 　　某一夜的一个荒山老林里，荒芜得连个鬼都没有，三个黑影正在鬼鬼祟祟。
诛仙前传：蛮荒行 　　青云山脉屹立中原，七峰雄峙，云蒸霞蔚之间直入云霄，有通天之姿，有仙家之气。
异界歌坛之蒋神流 　　浩瀚天宇里一切充满未知，蔚蓝星球本就是一个迷题，而在这颗星球之外，还有一片祥土，那是人性偏善、还未沦为垢土的世界。
血脉纪元 　　“紧急通知！紧急通知！所有居民在八点之前到中心广场集合！所有居民在八点之前到中心广场集合！军分区的战士们将在十点钟向后方安全区撤离，过时不候！过时不候！”
大古玩商 　　　　周水的爷爷很可能是神仙，就连周水小的时侯也这样认为。几百口人的小村子，进一次县城要翻两座山。村民们见过什么世面？在他们眼里，周水爷爷无所不能，似乎就是神仙了。
破灭时空 　　　　“下一个，赵立！”
诛仙之壮志青云 　　方今天下，正道大昌，宇内太平，正是一副欣欣向荣的景象。
神符十墓 　　这是一个发生在知识青年上山下乡时代的故事，一群拥有初中或者高中文化水平的青年从大江南北聚集到了一个地方----边城。
十三层鬼楼 　　终于到了十三层，宁川坚毅的站在一个漆黑的楼层里，他的脸上已经褪去了曾经的稚嫩，见证的太多住户的死去，经历了众多的死亡任务，如今终于可以登顶，带着所有亡者的信念，得知一切的缘由，十三层鬼楼，你的秘密到底是什么！！！
幻想华娱 　　上海一家医院一个婴儿睁开了眼睛，这个婴儿跟周围的完全不同，眼神中流露出来意思迷惑，转着小脑袋在四处的大量着周围的环境。在打量了一番过后，婴儿的小脸上居然出现了不该有的吃惊的表情，想要站起来，或者说是爬起来，但是婴儿那稚嫩的肌肉和骨骼不足以支撑，尝试了几次之后婴儿张开嘴，发出嘹亮的哭声。这完全不正常，究竟是这么回事？
猎网 　　　　招兵买马：
攻约梁山 　　　　星期六，华夏，家中，深夜。
不死狂尊 　　圣祥大陆，万象帝国，南疆，丰林镇。
特种兵之血色军刀 　　2005年8月15日，我永远无法忘记那一天，命运和我开了一个天大的玩笑，一颗泣血的子弹，让我脱下了曾经引以为傲的军装，从此变得一无所有。
斗破之平行世界 　　[[[CP|W:226|H:281|A:L|U:http://file1.qidian.com/chapters/201310/13/2990884635172556184214443529181.jpg]]]大概就是这个样子吧
奥特曼什么的才不萌呢 　　　　生命是可以被创造的么？
逼上梁山 　　　　“嘿嘿！就冲你说得这三条，我要是到了宋朝，我一定把这些话，带给宋徽宗那小子。让咱们中国，没有靖康之耻！没有文明倒退！提前进入一个和谐富强的社会主义。哈哈，你等着吧。”
机甲修女俏神父 　　银河系太阳系第四大行星火星的多人种居住地，靠近火星贫民区的东侧区域有一家名为【岂可修】的宇宙旅馆，提供给不同种族的人民居住、休憩。
北宋士大夫的非人生活 　　　　房间很大，临窗户边有一株树种刺柏。桩体粗大，生出十几个大大小小的肿瘤体，正面表皮遭到天然损伤，露出苍白体的木质体，似洒了一层银雪，又恍若几缕飞瀑自天而来。细细看去，主体枯褐，表皮斑剥，极具沧桑老态。桩体上生出几株树枝，一篷篷散如云状。本来是一件难得的盆景，略加修理，可以尽得疏、漏、奇、韵之味。
魔法与科学的最终兵器 　　　　粘稠的熔岩加快了流速，辐射出的阵阵热流上升涌动至上方的岩洞。随着温度开始上升，巢穴里巨大生物漫长到会让人误会其已经死亡的鼻息开始提速。心脏噗通噗通的鼓动让堆砌在洞穴另一角的森森白骨摩擦出嘈杂的响动，连续喷出两个让岩壁烧到通红的鼻息后，黑龙尼德霍格（Nidhogg）双重眼睑保护下的细长瞳孔被昏暗的光线刺激了一下，重新聚焦收缩成一条狭窄的细缝，生命中第752次冬眠结束了。
文科大唐 　　武德八年十月，大唐，长安，长安城里面的一处平民屋。
神道符召 　　　　“咔嚓……”
大神主系统 　　中天大陆，青云国，黑水城。
铁十字 　　　　2012年8月21日，风景如画的阿尔卑斯山脉。
刑名师爷 　　　　夜色阑珊，星光点点，初夏的夜晚乍暖还寒。
异世阎王爷 　　“我死了吗？”
重生日本大漫画 　　苏航躺在床上不想说话，因为他发现自己重生了。揉了揉昏沉沉的头，苏航心里很憋屈，作为一个重生穿越者，他没有金手指不是车祸死，连重生标配父母双亡有妹有房都没能拿到。这具身体的老爸老妈还活的好好的，身体硬朗没病没灾正在环游世界。两位也没打算收养个女儿。
王牌投手 　　这天下午，时间刚好在下课后的10分钟。
高达之曙光 　　　　名称及型号：ZGMF－X00ASkyGumdam(Uncomplete)/天空高达（未完成）
吞噬完美者 　　“昂～～～”
时空捉妖局 　　今天对于张小望来说真是一个大日子，尽管当事人当时并没有立刻意识到，但是当他的双手伸向那个摔倒在地的白胡子老头的时候……就像许多传奇的开端那样——命运的巨轮滚滚旋转，宿命的钟声轰然敲响！
宰执大宋 　　阳春三月的清凉山上层峦叠翠、鸟语花香，到处是勃勃的生机，但此时的钟浩却毫无生气，呆呆的坐在一块大石上，望着自己那纤细白皙的一双手出神。
宋时行 　　　　作者：韩门书生
远古求生 　　又是一个周末，安静的清晨。
大唐之绝版马官 　　早春三月，帝都长安宫殿连绵、楼阁错落，城南曲江池波光潋滟，芙蓉园碧叶连天。前来踏青的帝王后妃、官宦贵妇、文人宠妓，以及为数众多的小家碧玉们丰腴而妖娆，露着大半个胸脯。
网游之龙盾孽天 　　在一个雷雨交加的夜晚，一个昏暗的房间里的一个年轻人正在兴奋的大喊大叫着，没错！这满脸胡渣邋遢至极的年轻人就是本书的主角名叫许一凡，他因为快打赢了排位赛而兴奋着，他可是和他的队伍打了将近一个半小时才把兵线推到敌方的阵地上，以前从来都是半个小时被虐投降的许一凡，这次破天荒的居然让他超了神，还激烈的打了将近一个半小时，这能不让他兴奋的大喊大叫么。
传奇缔造者 　　　　“挡拆！挡拆！做挡拆！”
极品草根太子 　　　　改革开放后，宁海市经过沧海桑田变化，城市已然焕发出崭新的面貌，宽阔的马路，炫亮的路灯，高耸入云的大厦，还有一个个衣着时尚，来去匆匆的男女，无一不显示出宁海已经成了一座国际化的大都市。
尸虐 　　　　不死帝国5500年，春。
穿越火线之一枪飙血 　　海上市工人体育场。
大明日月 　　　　朝阳慢慢的从东方的海面上露出了脑袋，将面前的一片海域瞪得赤红。32岁的许朗站在东海珍珠号邮轮的甲板上，对着面前这美丽的日出，面无表情的静静的发着呆，同周围那些忙着拍照的旅客形成了鲜明的对比。
棋霸天下 　　　　夜色深沉，云遮月暗，风吹树动，叶影摇曳，初秋的夜晚已有几分凄凉之意，偶尔由道旁草丛砖缝传出几声秋虫的鸣叫之声，更给这凄冷的秋夜添上几许萧瑟。
大腕崛起 　　　　“杀！”
死游戏宅的升级人生 　　在遗忘之岭山脚下的罗布罗村里，有这么一个传奇人物，十五年前因难产而丧母，单亲父亲萨克莱尔?罗布罗也就是罗布罗村的村长独身抚养其三年，结果心智停止成长一般，连说话和走路都学不会，就会哭。不仅如此，他还挑嘴到除了兽乳其它食物一概理都不理。
极品仙尸 　　“不要放跑它！大家快追！”
御用供菜商 　　六月的陶都虽然比不上成都南京那样的炙热，但在田野看来那也是差不了多少。这种热不是沙漠中的那种燥热，而是水乡的闷热，让人格外的难受。
神途灭生 　　正值三月间，浩辰大陆上一片繁荣昌盛。位于浩辰大陆最南端，隔着万里海域，有一座不起眼的小岛独伫。此时的孤岛之上，大片的杏花林争相开放。
位面时间游戏 　　“对不起，你是个好人，但我觉得我们俩还是不太合适，所以还是做朋友吧。”对面这女孩冲苏航微微一笑道，苏航当时就无奈的叹了口气：得，这次相亲又黄了。不过，这次倒没有让他觉得意外就是了。
新纪来袭 　　深夜，雪花缓缓的飘落，人们用着最舒服的睡姿，进入一个个奇妙的梦境。
韩娱之随想 　　芝加哥
重生之蛊布天下 　　夜深，人静，虫鸣如琴，然而就在这月色如水，映染人间的美好时刻，丁默却一脸迷茫的坐在床头，呆呆看着自己的双手，久久说不出话来。
韩娱之私人助理 　　2010年12月1号，韩国东国大学校门口出现了一个看起来懒散的男孩，但是身上有一种特殊的气质。
灵葫空间 　　　　“脚手架倒了，大家快跑啊~~~~~~~”一个凄厉的声音，在空旷的建筑工地上突然传出，所有人都本能的迅速逃离这里。
茅山鬼门 　　我出生于茅山脚下的一个小村子里，那年我九岁，有天我和几个小伙伴在一条小河边玩。
穿梭世界的修士 　　郭青阳一直以为自己就是这个世界上最悲催的倒霉蛋，没有之一。
英雄联盟之最强外挂 　　寂寂深夜，只有“哐当哐当”的声音，隐约在萧决耳边回响。
波凯村没有村长 　　“太好了太好了，少爷你终于醒了！”一对人间胸器在李宏眼前晃悠，醒来的李宏还不知道怎么一回事，只是头脑一阵剧痛，像是有什么东西往他脑袋里塞。李宏又晕过去了。
意动天开 　　　　“没死？”
诡三国之摸金校尉的崛起 　　滚滚的河水不断的翻滚、上涌，逐渐的形成了一个巨大的漩涡。随之，一个庞然大物逐渐的浮出水面。水位不断的下降，直至一座似宫殿一般的墓群出现。
宠物小精灵之云凨 　　　　清晨，一轮火红的大日猛然从海岸线上跃然升起，金灿灿的光辉撒向了海洋，映照的整个碧蓝的海面波光粼粼。
